# FEC Latency Samples | generated by generate_fec_traffic_data.m v2
packet_global_idx,block_id,delay_ms
1,1,0.9465
2,1,0.7146
3,1,0.7247
4,1,0.9490
5,1,1.6222
6,1,0.2252
7,1,2.8767
8,1,1.0959
9,2,1.4371
10,2,2.9836
11,2,3.1204
12,2,2.4292
13,2,0.5268
14,2,3.0160
15,2,2.6649
16,2,3.4453
17,3,0.0599
18,3,3.1189
19,3,2.1689
20,3,2.9645
21,3,0.8801
22,3,1.5757
23,3,2.9392
24,3,1.5187
25,4,1.9357
26,4,2.3189
27,4,4.1424
28,4,0.0000
29,4,3.2896
30,4,1.2965
31,4,1.3201
32,4,3.7783
33,5,2.3568
34,5,2.8189
35,5,2.3830
36,5,2.1245
37,5,0.0000
38,5,4.2086
39,5,2.4645
40,5,1.8349
41,6,2.5438
42,6,1.8449
43,6,1.7430
44,6,3.3076
45,6,1.3295
46,6,0.9855
47,6,0.5831
48,6,2.6108
49,7,0.0000
50,7,1.9264
51,7,1.9026
52,7,0.7106
53,7,2.7417
54,7,1.7282
55,7,3.7023
56,7,3.3434
57,8,3.6521
58,8,2.7902
59,8,2.5318
60,8,0.0000
61,8,2.7878
62,8,0.8359
63,8,1.9710
64,8,1.1411
65,9,1.0210
66,9,1.4778
67,9,1.6155
68,9,3.2985
69,9,0.5443
70,9,0.2326
71,9,2.6903
72,9,3.1612
73,10,1.7677
74,10,2.3653
75,10,1.8024
76,10,1.7174
77,10,1.7373
78,10,1.5721
79,10,1.1092
80,10,1.9486
81,11,3.0716
82,11,3.1525
83,11,1.7947
84,11,1.4624
85,11,0.3586
86,11,1.3490
87,11,1.8509
88,11,5.7938
89,12,1.4430
90,12,2.5231
91,12,2.2367
92,12,3.8031
93,12,0.9731
94,12,3.3727
95,12,1.1119
96,12,1.1711
97,13,1.2968
98,13,3.0158
99,13,1.2725
100,13,1.7332
101,13,2.9241
102,13,0.9054
103,13,1.4220
104,13,1.9719
105,14,2.4330
106,14,1.3801
107,14,3.0058
108,14,2.5398
109,14,1.9969
110,14,0.2210
111,14,3.4781
112,14,0.9528
113,15,2.2272
114,15,0.2235
115,15,2.1681
116,15,0.9720
117,15,0.1862
118,15,1.5726
119,15,0.9600
120,15,0.6061
121,16,2.1497
122,16,2.2400
123,16,4.4204
124,16,1.9556
125,16,0.4376
126,16,1.3573
127,16,1.9137
128,16,0.9842
129,17,1.8012
130,17,2.6463
131,17,1.6113
132,17,1.1649
133,17,1.0555
134,17,2.2678
135,17,2.2509
136,17,1.5585
137,18,0.8807
138,18,1.3822
139,18,1.8769
140,18,2.1289
141,18,1.3164
142,18,1.2440
143,18,2.3317
144,18,4.0190
145,19,2.0693
146,19,1.8236
147,19,1.9217
148,19,2.2345
149,19,1.9884
150,19,2.2015
151,19,2.0028
152,19,2.6061
153,20,2.6191
154,20,2.5533
155,20,2.6130
156,20,2.5788
157,20,1.6164
158,20,0.9160
159,20,2.6106
160,20,2.8008
161,21,1.6703
162,21,2.3100
163,21,1.1983
164,21,2.2783
165,21,2.4194
166,21,2.8428
167,21,4.0351
168,21,3.2072
169,22,2.9737
170,22,2.0688
171,22,1.2187
172,22,0.0707
173,22,2.4572
174,22,1.1865
175,22,2.3177
176,22,3.2576
177,23,0.0000
178,23,1.7295
179,23,1.7603
180,23,1.9316
181,23,4.1243
182,23,2.2822
183,23,2.6869
184,23,2.9943
185,24,2.4452
186,24,0.5583
187,24,0.9359
188,24,2.0988
189,24,2.7412
190,24,1.3832
191,24,2.2229
192,24,3.1345
193,25,3.6529
194,25,3.2777
195,25,2.3774
196,25,1.2666
197,25,0.6457
198,25,1.5983
199,25,0.6545
200,25,1.9197
201,26,2.0842
202,26,2.4651
203,26,1.5646
204,26,0.8350
205,26,2.0019
206,26,1.5711
207,26,2.5720
208,26,2.9123
209,27,0.2703
210,27,3.2053
211,27,1.6445
212,27,2.2490
213,27,2.6705
214,27,2.2081
215,27,3.2562
216,27,2.5231
217,28,0.5718
218,28,1.0405
219,28,0.6511
220,28,2.1523
221,28,2.1924
222,28,1.4251
223,28,1.2700
224,28,1.5736
225,29,1.2780
226,29,0.7644
227,29,2.3385
228,29,2.1015
229,29,2.5115
230,29,2.5569
231,29,1.6382
232,29,1.9822
233,30,3.8218
234,30,2.0749
235,30,1.3832
236,30,1.0411
237,30,2.1495
238,30,0.8423
239,30,0.7018
240,30,2.0392
241,31,0.9225
242,31,2.5628
243,31,1.3979
244,31,2.1952
245,31,3.8227
246,31,1.3479
247,31,2.4465
248,31,1.3577
249,32,1.1174
250,32,0.5525
251,32,3.7395
252,32,3.2522
253,32,2.7784
254,32,2.5597
255,32,2.5089
256,32,1.0170
257,33,2.9774
258,33,0.3173
259,33,1.6620
260,33,1.2738
261,33,0.8972
262,33,1.6955
263,33,1.7468
264,33,2.2638
265,34,1.1218
266,34,3.2090
267,34,2.0683
268,34,2.1461
269,34,2.9846
270,34,0.9266
271,34,2.8824
272,34,2.3432
273,35,3.3319
274,35,1.7302
275,35,1.9241
276,35,2.7503
277,35,2.1697
278,35,2.0574
279,35,0.8701
280,35,1.9803
281,36,2.6907
282,36,3.3508
283,36,2.1327
284,36,2.5125
285,36,1.3767
286,36,0.2075
287,36,1.3044
288,36,1.2291
289,37,3.3703
290,37,1.8523
291,37,1.8974
292,37,2.7386
293,37,1.5281
294,37,2.8788
295,37,1.4776
296,37,2.5193
297,38,0.6796
298,38,2.4972
299,38,1.1979
300,38,2.9218
301,38,1.9950
302,38,2.0016
303,38,1.5869
304,38,2.3795
305,39,2.5079
306,39,2.9426
307,39,0.0000
308,39,2.3438
309,39,1.5947
310,39,4.1071
311,39,3.4601
312,39,2.1856
313,40,3.1440
314,40,1.8518
315,40,1.1976
316,40,3.4910
317,40,2.1793
318,40,2.7377
319,40,1.2299
320,40,1.7361
321,41,2.4738
322,41,1.1678
323,41,0.8956
324,41,2.1952
325,41,1.7318
326,41,1.1947
327,41,1.5605
328,41,1.9745
329,42,2.2080
330,42,0.9188
331,42,2.0311
332,42,1.2353
333,42,2.5313
334,42,3.3503
335,42,2.1048
336,42,1.0317
337,43,1.8045
338,43,1.3502
339,43,3.6570
340,43,1.4817
341,43,0.8162
342,43,0.7203
343,43,2.8431
344,43,0.1995
345,44,3.1710
346,44,1.4718
347,44,1.8546
348,44,2.4784
349,44,0.9367
350,44,3.1260
351,44,3.4347
352,44,2.4539
353,45,1.8695
354,45,3.5147
355,45,2.4945
356,45,2.6580
357,45,1.7707
358,45,1.8213
359,45,0.4043
360,45,0.0000
361,46,2.2125
362,46,2.5971
363,46,1.5010
364,46,3.0500
365,46,2.2101
366,46,1.5385
367,46,1.2653
368,46,2.7043
369,47,1.7172
370,47,1.7029
371,47,1.7975
372,47,3.2519
373,47,2.2984
374,47,2.2118
375,47,2.6653
376,47,2.1100
377,48,1.5441
378,48,3.6738
379,48,1.6972
380,48,3.3946
381,48,3.4723
382,48,1.9953
383,48,3.0168
384,48,3.4879
385,49,2.2603
386,49,1.4185
387,49,1.7156
388,49,3.8329
389,49,2.5773
390,49,0.7889
391,49,1.9091
392,49,1.2351
393,50,4.7290
394,50,2.1655
395,50,3.4037
396,50,3.3576
397,50,4.5061
398,50,1.0616
399,50,2.5289
400,50,0.0000
401,51,1.5267
402,51,3.1456
403,51,1.4757
404,51,2.0839
405,51,3.1009
406,51,1.3453
407,51,2.8205
408,51,2.3376
409,52,1.8776
410,52,2.5528
411,52,0.4236
412,52,0.0000
413,52,1.2017
414,52,1.3289
415,52,0.3144
416,52,3.2231
417,53,0.0908
418,53,2.7860
419,53,1.5609
420,53,3.1723
421,53,3.3830
422,53,1.9840
423,53,2.2322
424,53,1.6938
425,54,2.1093
426,54,0.0000
427,54,1.0208
428,54,2.2527
429,54,1.4910
430,54,1.3470
431,54,0.7322
432,54,4.0986
433,55,1.2432
434,55,3.4112
435,55,4.0112
436,55,1.5846
437,55,1.7371
438,55,1.0480
439,55,1.0715
440,55,2.3483
441,56,2.2614
442,56,2.5019
443,56,3.5961
444,56,2.3643
445,56,1.7950
446,56,2.2500
447,56,3.9164
448,56,2.4363
449,57,0.4674
450,57,0.5508
451,57,2.0103
452,57,2.4097
453,57,2.6691
454,57,1.7842
455,57,1.2238
456,57,0.9770
457,58,2.2874
458,58,0.9960
459,58,3.0076
460,58,1.1439
461,58,0.3682
462,58,2.3981
463,58,1.7906
464,58,1.8128
465,59,1.9758
466,59,2.8653
467,59,3.3263
468,59,1.5293
469,59,0.0000
470,59,1.4886
471,59,2.1978
472,59,0.3915
473,60,1.0461
474,60,1.8676
475,60,1.7848
476,60,2.6619
477,60,1.4421
478,60,0.0000
479,60,2.6842
480,60,0.8751
481,61,3.7625
482,61,0.6107
483,61,2.2835
484,61,2.4059
485,61,2.7197
486,61,0.6012
487,61,2.3245
488,61,3.4341
489,62,3.0273
490,62,1.7208
491,62,0.0839
492,62,2.7684
493,62,1.3794
494,62,0.5424
495,62,1.5622
496,62,1.5605
497,63,2.8057
498,63,1.4586
499,63,2.8872
500,63,2.4916
501,63,1.0170
502,63,1.3040
503,63,1.9155
504,63,1.6769
505,64,2.0895
506,64,0.4602
507,64,1.3602
508,64,2.7889
509,64,1.3787
510,64,1.0133
511,64,1.1653
512,64,1.8128
513,65,1.8218
514,65,1.8438
515,65,1.6595
516,65,2.0565
517,65,1.8218
518,65,0.7178
519,65,0.0167
520,65,2.1221
521,66,2.2237
522,66,2.0521
523,66,0.8506
524,66,1.3190
525,66,0.7297
526,66,2.6233
527,66,2.0506
528,66,1.6332
529,67,3.8641
530,67,2.2955
531,67,2.9061
532,67,2.4974
533,67,1.6758
534,67,0.8513
535,67,2.0045
536,67,2.9327
537,68,2.6754
538,68,2.8338
539,68,2.1095
540,68,2.6752
541,68,1.6551
542,68,2.7101
543,68,2.8630
544,68,3.1033
545,69,1.5686
546,69,1.8213
547,69,3.5469
548,69,2.2571
549,69,1.7319
550,69,1.7821
551,69,2.2674
552,69,1.7431
553,70,2.7412
554,70,2.6670
555,70,0.0000
556,70,2.2650
557,70,1.4314
558,70,1.4112
559,70,2.7849
560,70,3.1640
561,71,0.7615
562,71,0.8258
563,71,2.5125
564,71,3.5367
565,71,2.1247
566,71,2.2990
567,71,2.3508
568,71,1.5459
569,72,1.3382
570,72,1.6070
571,72,2.7659
572,72,2.0540
573,72,2.6888
574,72,0.3862
575,72,0.1082
576,72,3.3305
577,73,4.1732
578,73,1.2141
579,73,2.2208
580,73,2.7586
581,73,4.4100
582,73,1.9418
583,73,2.7617
584,73,1.2218
585,74,1.2601
586,74,1.2639
587,74,1.1125
588,74,2.5185
589,74,2.4827
590,74,3.2034
591,74,3.5808
592,74,2.5608
593,75,2.4660
594,75,3.6075
595,75,2.3841
596,75,2.3300
597,75,1.5375
598,75,2.1116
599,75,1.2025
600,75,2.6424
601,76,1.4653
602,76,1.6393
603,76,3.7526
604,76,2.1047
605,76,1.2407
606,76,2.4519
607,76,1.5273
608,76,0.5341
609,77,2.1217
610,77,2.7663
611,77,3.5625
612,77,2.5371
613,77,1.5051
614,77,2.4322
615,77,3.0113
616,77,1.2043
617,78,0.8863
618,78,1.7900
619,78,2.0035
620,78,1.7329
621,78,2.3534
622,78,2.5833
623,78,1.0153
624,78,0.8460
625,79,0.7534
626,79,0.6743
627,79,1.7571
628,79,1.9158
629,79,0.5652
630,79,3.3590
631,79,1.9847
632,79,2.2859
633,80,2.3843
634,80,2.3548
635,80,3.8129
636,80,1.3542
637,80,1.0053
638,80,0.4837
639,80,0.9787
640,80,1.0109
641,81,1.4172
642,81,1.9663
643,81,0.7762
644,81,3.8274
645,81,2.3017
646,81,0.8846
647,81,1.4276
648,81,3.6259
649,82,3.4201
650,82,2.1650
651,82,1.4917
652,82,2.1131
653,82,1.4670
654,82,3.2509
655,82,2.4650
656,82,0.8621
657,83,2.1801
658,83,2.5764
659,83,1.7817
660,83,2.1167
661,83,2.0993
662,83,2.0411
663,83,2.9537
664,83,2.4533
665,84,2.6580
666,84,0.0000
667,84,2.8264
668,84,1.3415
669,84,1.8783
670,84,2.1977
671,84,2.3410
672,84,1.7721
673,85,4.3531
674,85,1.8500
675,85,1.8723
676,85,3.0787
677,85,0.8696
678,85,1.9971
679,85,4.0222
680,85,1.1863
681,86,1.8490
682,86,2.9294
683,86,1.2965
684,86,3.5413
685,86,1.8570
686,86,2.9709
687,86,0.9542
688,86,1.9943
689,87,1.5312
690,87,0.8657
691,87,0.7125
692,87,3.4374
693,87,1.2363
694,87,2.0069
695,87,2.9469
696,87,3.5317
697,88,2.5176
698,88,0.0000
699,88,2.2134
700,88,2.8064
701,88,1.6530
702,88,1.6720
703,88,2.2946
704,88,2.4221
705,89,2.3303
706,89,1.6570
707,89,2.6299
708,89,1.4202
709,89,2.7106
710,89,1.6917
711,89,1.7480
712,89,0.0000
713,90,1.6147
714,90,2.4406
715,90,0.8151
716,90,2.3373
717,90,3.5127
718,90,1.1264
719,90,0.4338
720,90,2.3633
721,91,4.2246
722,91,2.3143
723,91,0.5851
724,91,1.9897
725,91,1.3701
726,91,2.8156
727,91,2.9808
728,91,1.6020
729,92,2.3754
730,92,1.3707
731,92,1.5103
732,92,1.0643
733,92,1.9265
734,92,1.2799
735,92,3.0906
736,92,0.0209
737,93,3.1778
738,93,2.0061
739,93,2.7137
740,93,2.3295
741,93,2.3814
742,93,3.0735
743,93,2.3524
744,93,1.1982
745,94,2.9271
746,94,2.5393
747,94,2.6608
748,94,1.4766
749,94,0.0000
750,94,4.2023
751,94,2.5596
752,94,2.8298
753,95,2.1624
754,95,1.8170
755,95,3.7441
756,95,2.4068
757,95,0.1437
758,95,1.1689
759,95,2.6217
760,95,2.1084
761,96,1.6551
762,96,3.7634
763,96,3.0123
764,96,2.7032
765,96,0.8187
766,96,1.5438
767,96,1.6369
768,96,2.0942
769,97,2.3100
770,97,3.0000
771,97,1.7492
772,97,0.3912
773,97,2.7707
774,97,1.7076
775,97,0.7360
776,97,3.4152
777,98,2.6135
778,98,1.6856
779,98,3.4605
780,98,3.8071
781,98,3.8868
782,98,2.0594
783,98,0.8293
784,98,0.7012
785,99,1.5619
786,99,0.2991
787,99,2.7545
788,99,1.6868
789,99,1.6762
790,99,1.4532
791,99,1.7552
792,99,2.5725
793,100,0.7838
794,100,1.6231
795,100,2.4176
796,100,2.8275
797,100,0.6514
798,100,2.5456
799,100,1.8030
800,100,2.5786
801,101,1.9975
802,101,1.0146
803,101,0.7819
804,101,0.6519
805,101,2.7489
806,101,2.6110
807,101,2.4843
808,101,1.1027
809,102,2.1122
810,102,0.3657
811,102,0.4707
812,102,2.6024
813,102,1.3322
814,102,1.7744
815,102,2.6902
816,102,2.5144
817,103,0.0000
818,103,2.4284
819,103,3.0800
820,103,1.3054
821,103,0.7879
822,103,3.2787
823,103,1.9667
824,103,1.8503
825,104,1.8439
826,104,1.2087
827,104,2.4479
828,104,1.2284
829,104,2.4150
830,104,3.2350
831,104,2.3885
832,104,1.5482
833,105,1.4707
834,105,1.1805
835,105,1.1736
836,105,0.2240
837,105,2.0323
838,105,1.8180
839,105,0.7979
840,105,2.9647
841,106,1.0775
842,106,0.1217
843,106,1.2491
844,106,3.0368
845,106,2.9495
846,106,3.1213
847,106,2.7776
848,106,1.6171
849,107,1.5775
850,107,0.7427
851,107,4.2977
852,107,2.1369
853,107,2.3747
854,107,2.6585
855,107,1.5518
856,107,1.3567
857,108,2.0735
858,108,1.6666
859,108,3.5440
860,108,2.0712
861,108,2.3379
862,108,1.1403
863,108,2.1909
864,108,3.0773
865,109,1.4799
866,109,1.6274
867,109,2.8521
868,109,1.4796
869,109,0.9464
870,109,0.4666
871,109,1.7356
872,109,1.4998
873,110,3.0397
874,110,3.8584
875,110,2.8452
876,110,2.6884
877,110,1.5133
878,110,2.9599
879,110,3.4786
880,110,1.9904
881,111,2.9546
882,111,2.3961
883,111,2.3188
884,111,3.3837
885,111,1.1383
886,111,1.9456
887,111,1.9141
888,111,1.4091
889,112,3.1639
890,112,0.7114
891,112,1.3620
892,112,1.4220
893,112,1.4432
894,112,0.4816
895,112,2.0983
896,112,2.0698
897,113,3.3417
898,113,1.5316
899,113,2.4065
900,113,3.1075
901,113,0.4309
902,113,2.7803
903,113,3.0608
904,113,2.0801
905,114,1.6432
906,114,4.0401
907,114,2.3522
908,114,3.4502
909,114,2.0280
910,114,2.2919
911,114,1.2418
912,114,3.2988
913,115,1.4347
914,115,2.6210
915,115,2.0844
916,115,1.9750
917,115,3.6564
918,115,1.3542
919,115,1.9165
920,115,0.6369
921,116,2.8924
922,116,1.2834
923,116,1.5356
924,116,1.8831
925,116,1.9326
926,116,2.9904
927,116,2.6841
928,116,0.6800
929,117,1.9947
930,117,1.7732
931,117,4.1745
932,117,2.8179
933,117,2.5273
934,117,1.5184
935,117,3.3841
936,117,2.2645
937,118,2.1555
938,118,1.9450
939,118,0.7285
940,118,2.6809
941,118,1.8484
942,118,1.0039
943,118,2.1563
944,118,2.2948
945,119,2.1438
946,119,2.6910
947,119,0.5496
948,119,3.3898
949,119,2.3289
950,119,2.0067
951,119,2.5615
952,119,4.0105
953,120,2.7899
954,120,0.8601
955,120,1.9664
956,120,1.2877
957,120,1.3741
958,120,1.3318
959,120,2.5937
960,120,3.6363
961,121,1.3474
962,121,1.5925
963,121,2.5574
964,121,0.5028
965,121,2.7839
966,121,2.9218
967,121,2.5137
968,121,0.2690
