# FEC Loss Vectors | model=GE | generated by generate_fec_traffic_data.m v2
model,loss_rate_target,trial,block,D0,D1,D2,D3,P0,P1,P2,P3
random,0.00,1,1,1,1,1,1,1,1,1,1
random,0.00,1,2,1,1,1,1,1,1,1,1
random,0.00,1,3,1,1,1,1,1,1,1,1
random,0.00,1,4,1,1,1,1,1,1,1,1
random,0.00,1,5,1,1,1,1,1,1,1,1
random,0.00,1,6,1,1,1,1,1,1,1,1
random,0.00,1,7,1,1,1,1,1,1,1,1
random,0.00,1,8,1,1,1,1,1,1,1,1
random,0.00,1,9,1,1,1,1,1,1,1,1
random,0.00,1,10,1,1,1,1,1,1,1,1
random,0.00,1,11,1,1,1,1,1,1,1,1
random,0.00,1,12,1,1,1,1,1,1,1,1
random,0.00,1,13,1,1,1,1,1,1,1,1
random,0.00,1,14,1,1,1,1,1,1,1,1
random,0.00,1,15,1,1,1,1,1,1,1,1
random,0.00,1,16,1,1,1,1,1,1,1,1
random,0.00,1,17,1,1,1,1,1,1,1,1
random,0.00,1,18,1,1,1,1,1,1,1,1
random,0.00,1,19,1,1,1,1,1,1,1,1
random,0.00,1,20,1,1,1,1,1,1,1,1
random,0.00,1,21,1,1,1,1,1,1,1,1
random,0.00,1,22,1,1,1,1,1,1,1,1
random,0.00,1,23,1,1,1,1,1,1,1,1
random,0.00,1,24,1,1,1,1,1,1,1,1
random,0.00,1,25,1,1,1,1,1,1,1,1
random,0.00,1,26,1,1,1,1,1,1,1,1
random,0.00,1,27,1,1,1,1,1,1,1,1
random,0.00,1,28,1,1,1,1,1,1,1,1
random,0.00,1,29,1,1,1,1,1,1,1,1
random,0.00,1,30,1,1,1,1,1,1,1,1
random,0.00,1,31,1,1,1,1,1,1,1,1
random,0.00,1,32,1,1,1,1,1,1,1,1
random,0.00,1,33,1,1,1,1,1,1,1,1
random,0.00,1,34,1,1,1,1,1,1,1,1
random,0.00,1,35,1,1,1,1,1,1,1,1
random,0.00,1,36,1,1,1,1,1,1,1,1
random,0.00,1,37,1,1,1,1,1,1,1,1
random,0.00,1,38,1,1,1,1,1,1,1,1
random,0.00,1,39,1,1,1,1,1,1,1,1
random,0.00,1,40,1,1,1,1,1,1,1,1
random,0.00,1,41,1,1,1,1,1,1,1,1
random,0.00,1,42,1,1,1,1,1,1,1,1
random,0.00,1,43,1,1,1,1,1,1,1,1
random,0.00,1,44,1,1,1,1,1,1,1,1
random,0.00,1,45,1,1,1,1,1,1,1,1
random,0.00,1,46,1,1,1,1,1,1,1,1
random,0.00,1,47,1,1,1,1,1,1,1,1
random,0.00,1,48,1,1,1,1,1,1,1,1
random,0.00,1,49,1,1,1,1,1,1,1,1
random,0.00,1,50,1,1,1,1,1,1,1,1
random,0.00,2,1,1,1,1,1,1,1,1,1
random,0.00,2,2,1,1,1,1,1,1,1,1
random,0.00,2,3,1,1,1,1,1,1,1,1
random,0.00,2,4,1,1,1,1,1,1,1,1
random,0.00,2,5,1,1,1,1,1,1,1,1
random,0.00,2,6,1,1,1,1,1,1,1,1
random,0.00,2,7,1,1,1,1,1,1,1,1
random,0.00,2,8,1,1,1,1,1,1,1,1
random,0.00,2,9,1,1,1,1,1,1,1,1
random,0.00,2,10,1,1,1,1,1,1,1,1
random,0.00,2,11,1,1,1,1,1,1,1,1
random,0.00,2,12,1,1,1,1,1,1,1,1
random,0.00,2,13,1,1,1,1,1,1,1,1
random,0.00,2,14,1,1,1,1,1,1,1,1
random,0.00,2,15,1,1,1,1,1,1,1,1
random,0.00,2,16,1,1,1,1,1,1,1,1
random,0.00,2,17,1,1,1,1,1,1,1,1
random,0.00,2,18,1,1,1,1,1,1,1,1
random,0.00,2,19,1,1,1,1,1,1,1,1
random,0.00,2,20,1,1,1,1,1,1,1,1
random,0.00,2,21,1,1,1,1,1,1,1,1
random,0.00,2,22,1,1,1,1,1,1,1,1
random,0.00,2,23,1,1,1,1,1,1,1,1
random,0.00,2,24,1,1,1,1,1,1,1,1
random,0.00,2,25,1,1,1,1,1,1,1,1
random,0.00,2,26,1,1,1,1,1,1,1,1
random,0.00,2,27,1,1,1,1,1,1,1,1
random,0.00,2,28,1,1,1,1,1,1,1,1
random,0.00,2,29,1,1,1,1,1,1,1,1
random,0.00,2,30,1,1,1,1,1,1,1,1
random,0.00,2,31,1,1,1,1,1,1,1,1
random,0.00,2,32,1,1,1,1,1,1,1,1
random,0.00,2,33,1,1,1,1,1,1,1,1
random,0.00,2,34,1,1,1,1,1,1,1,1
random,0.00,2,35,1,1,1,1,1,1,1,1
random,0.00,2,36,1,1,1,1,1,1,1,1
random,0.00,2,37,1,1,1,1,1,1,1,1
random,0.00,2,38,1,1,1,1,1,1,1,1
random,0.00,2,39,1,1,1,1,1,1,1,1
random,0.00,2,40,1,1,1,1,1,1,1,1
random,0.00,2,41,1,1,1,1,1,1,1,1
random,0.00,2,42,1,1,1,1,1,1,1,1
random,0.00,2,43,1,1,1,1,1,1,1,1
random,0.00,2,44,1,1,1,1,1,1,1,1
random,0.00,2,45,1,1,1,1,1,1,1,1
random,0.00,2,46,1,1,1,1,1,1,1,1
random,0.00,2,47,1,1,1,1,1,1,1,1
random,0.00,2,48,1,1,1,1,1,1,1,1
random,0.00,2,49,1,1,1,1,1,1,1,1
random,0.00,2,50,1,1,1,1,1,1,1,1
random,0.00,3,1,1,1,1,1,1,1,1,1
random,0.00,3,2,1,1,1,1,1,1,1,1
random,0.00,3,3,1,1,1,1,1,1,1,1
random,0.00,3,4,1,1,1,1,1,1,1,1
random,0.00,3,5,1,1,1,1,1,1,1,1
random,0.00,3,6,1,1,1,1,1,1,1,1
random,0.00,3,7,1,1,1,1,1,1,1,1
random,0.00,3,8,1,1,1,1,1,1,1,1
random,0.00,3,9,1,1,1,1,1,1,1,1
random,0.00,3,10,1,1,1,1,1,1,1,1
random,0.00,3,11,1,1,1,1,1,1,1,1
random,0.00,3,12,1,1,1,1,1,1,1,1
random,0.00,3,13,1,1,1,1,1,1,1,1
random,0.00,3,14,1,1,1,1,1,1,1,1
random,0.00,3,15,1,1,1,1,1,1,1,1
random,0.00,3,16,1,1,1,1,1,1,1,1
random,0.00,3,17,1,1,1,1,1,1,1,1
random,0.00,3,18,1,1,1,1,1,1,1,1
random,0.00,3,19,1,1,1,1,1,1,1,1
random,0.00,3,20,1,1,1,1,1,1,1,1
random,0.00,3,21,1,1,1,1,1,1,1,1
random,0.00,3,22,1,1,1,1,1,1,1,1
random,0.00,3,23,1,1,1,1,1,1,1,1
random,0.00,3,24,1,1,1,1,1,1,1,1
random,0.00,3,25,1,1,1,1,1,1,1,1
random,0.00,3,26,1,1,1,1,1,1,1,1
random,0.00,3,27,1,1,1,1,1,1,1,1
random,0.00,3,28,1,1,1,1,1,1,1,1
random,0.00,3,29,1,1,1,1,1,1,1,1
random,0.00,3,30,1,1,1,1,1,1,1,1
random,0.00,3,31,1,1,1,1,1,1,1,1
random,0.00,3,32,1,1,1,1,1,1,1,1
random,0.00,3,33,1,1,1,1,1,1,1,1
random,0.00,3,34,1,1,1,1,1,1,1,1
random,0.00,3,35,1,1,1,1,1,1,1,1
random,0.00,3,36,1,1,1,1,1,1,1,1
random,0.00,3,37,1,1,1,1,1,1,1,1
random,0.00,3,38,1,1,1,1,1,1,1,1
random,0.00,3,39,1,1,1,1,1,1,1,1
random,0.00,3,40,1,1,1,1,1,1,1,1
random,0.00,3,41,1,1,1,1,1,1,1,1
random,0.00,3,42,1,1,1,1,1,1,1,1
random,0.00,3,43,1,1,1,1,1,1,1,1
random,0.00,3,44,1,1,1,1,1,1,1,1
random,0.00,3,45,1,1,1,1,1,1,1,1
random,0.00,3,46,1,1,1,1,1,1,1,1
random,0.00,3,47,1,1,1,1,1,1,1,1
random,0.00,3,48,1,1,1,1,1,1,1,1
random,0.00,3,49,1,1,1,1,1,1,1,1
random,0.00,3,50,1,1,1,1,1,1,1,1
random,0.00,4,1,1,1,1,1,1,1,1,1
random,0.00,4,2,1,1,1,1,1,1,1,1
random,0.00,4,3,1,1,1,1,1,1,1,1
random,0.00,4,4,1,1,1,1,1,1,1,1
random,0.00,4,5,1,1,1,1,1,1,1,1
random,0.00,4,6,1,1,1,1,1,1,1,1
random,0.00,4,7,1,1,1,1,1,1,1,1
random,0.00,4,8,1,1,1,1,1,1,1,1
random,0.00,4,9,1,1,1,1,1,1,1,1
random,0.00,4,10,1,1,1,1,1,1,1,1
random,0.00,4,11,1,1,1,1,1,1,1,1
random,0.00,4,12,1,1,1,1,1,1,1,1
random,0.00,4,13,1,1,1,1,1,1,1,1
